:LABEL,global_id,id,ifc_type,name,object_type,tag
IfcStair,0wkEuT1wr1kOyafLY4v_O1,#9021,IFCSTAIR,Stair:Residential - 200mm Max Riser 250mm Tread:151086,Stair:Residential - 200mm Max Riser 250mm Tread,151086
IfcStair,21ldoMpbP4VfsJ0XGY_34d,#32116,IFCSTAIR,Stair:Residential - 200mm Max Riser 250mm Tread:198878,Stair:Residential - 200mm Max Riser 250mm Tread,198878
