:LABEL,global_id,id,ifc_type,name,object_type,tag
IfcFooting,0kF45Qs8L9PAM9kmb1lT5d,#23286,IFCFOOTING,Wall Foundation:Bearing Footing - 900 x 300:186596,Wall Foundation:Bearing Footing - 900 x 300,186596
IfcFooting,0kF45Qs8L9PAM9kmb1lT5l,#23369,IFCFOOTING,Wall Foundation:Bearing Footing - 900 x 300:186604,Wall Foundation:Bearing Footing - 900 x 300,186604
IfcFooting,0kF45Qs8L9PAM9kmb1lT5t,#23408,IFCFOOTING,Wall Foundation:Bearing Footing - 900 x 300:186612,Wall Foundation:Bearing Footing - 900 x 300,186612
IfcFooting,0kF45Qs8L9PAM9kmb1lT5$,#23446,IFCFOOTING,Wall Foundation:Bearing Footing - 900 x 300:186620,Wall Foundation:Bearing Footing - 900 x 300,186620
IfcFooting,0kF45Qs8L9PAM9kmb1lT2B,#23485,IFCFOOTING,Wall Foundation:Bearing Footing - 900 x 300:186632,Wall Foundation:Bearing Footing - 900 x 300,186632
IfcFooting,0kF45Qs8L9PAM9kmb1lT2N,#23524,IFCFOOTING,Wall Foundation:Bearing Footing - 900 x 300:186644,Wall Foundation:Bearing Footing - 900 x 300,186644
IfcFooting,0kF45Qs8L9PAM9kmb1lT2Z,#23562,IFCFOOTING,Wall Foundation:Bearing Footing - 900 x 300:186656,Wall Foundation:Bearing Footing - 900 x 300,186656
