:LABEL,global_id,id,ifc_type,name,tag
IfcDoorStyle,28VDfyq51BtxN68z6Brpvs,#6639,IFCDOORSTYLE,1250mm x 2010mm,146596
IfcDoorStyle,2S67XPaW1CHg1jrMmPps_z,#8053,IFCDOORSTYLE,0762 x 2032mm,150173
IfcDoorStyle,20jGDLfPn5F8bVb$wXnrpD,#15949,IFCDOORSTYLE,0864 x 2032mm,159734
IfcDoorStyle,3HoP2o48vFlPEmd6lsQCdI,#8270,IFCDOORSTYLE,0864 x 2032mm,150378
IfcDoorStyle,0pB8AT2hfEtQhuGzBhCesc,#21808,IFCDOORSTYLE,0813 x 2420mm,171853
IfcDoorStyle,2klOFZffH6WQFlV10uM1wF,#35305,IFCDOORSTYLE,0762 x 2032mm,203720
