:LABEL,id,ifc_type,profile_type,x_dim,y_dim
IfcRectangleProfileDef,#7721,IFCRECTANGLEPROFILEDEF,AREA,0.7589999999999981,0.8189999999999995
IfcRectangleProfileDef,#7773,IFCRECTANGLEPROFILEDEF,AREA,2.409999999999996,2.8
IfcRectangleProfileDef,#7825,IFCRECTANGLEPROFILEDEF,AREA,0.7589999999999981,0.8189999999999995
IfcRectangleProfileDef,#7877,IFCRECTANGLEPROFILEDEF,AREA,0.7590000000000007,0.8189999999999998
IfcRectangleProfileDef,#7929,IFCRECTANGLEPROFILEDEF,AREA,0.7589999999999981,0.8189999999999995
IfcRectangleProfileDef,#7981,IFCRECTANGLEPROFILEDEF,AREA,0.7619999999999996,2.032
IfcRectangleProfileDef,#8024,IFCRECTANGLEPROFILEDEF,AREA,0.7619999999999998,0.051
IfcRectangleProfileDef,#8147,IFCRECTANGLEPROFILEDEF,AREA,0.7619999999999996,2.032
IfcRectangleProfileDef,#8198,IFCRECTANGLEPROFILEDEF,AREA,0.8639999999999998,2.032
IfcRectangleProfileDef,#8241,IFCRECTANGLEPROFILEDEF,AREA,0.051,0.8639999999999998
IfcRectangleProfileDef,#8364,IFCRECTANGLEPROFILEDEF,AREA,0.8639999999999994,2.032
IfcRectangleProfileDef,#8856,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01249999999999932
IfcRectangleProfileDef,#8863,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01249999999999932
IfcRectangleProfileDef,#8870,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01249999999999932
IfcRectangleProfileDef,#8877,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01249999999999932
IfcRectangleProfileDef,#8884,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01249999999999932
IfcRectangleProfileDef,#8891,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01249999999999932
IfcRectangleProfileDef,#8898,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01249999999999932
IfcRectangleProfileDef,#8905,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01249999999999932
IfcRectangleProfileDef,#8912,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01249999999999932
IfcRectangleProfileDef,#8919,IFCRECTANGLEPROFILEDEF,AREA,0.9144000000000001,0.01249999999999932
