:LABEL,id,ifc_type,x,y,z
IfcCartesianPoint,#290,IFCCARTESIANPOINT,6.287999999999999,-10.30800000000003,0
IfcCartesianPoint,#291,IFCCARTESIANPOINT,4.693999999999999,-10.30800000000003,0
IfcCartesianPoint,#297,IFCCARTESIANPOINT,4.693999999999999,-10.29400000000002,0
IfcCartesianPoint,#298,IFCCARTESIANPOINT,0.2084999999999992,-10.294,0
IfcCartesianPoint,#348,IFCCARTESIANPOINT,5.498000000000002,-9.160500000000008,0.01299999999999975
IfcCartesianPoint,#359,IFCCARTESIANPOINT,6.226000000000004,-8.074999999999996,2.6
IfcCartesianPoint,#360,IFCCARTESIANPOINT,1.532,0.0,0
IfcCartesianPoint,#361,IFCCARTESIANPOINT,1.531999999999997,2.171000000000033,0
IfcCartesianPoint,#362,IFCCARTESIANPOINT,-0.0,2.171000000000031,0
IfcCartesianPoint,#363,IFCCARTESIANPOINT,-0.0,1.978000000000021,0
IfcCartesianPoint,#364,IFCCARTESIANPOINT,-0.0,1.216000000000022,0
IfcCartesianPoint,#370,IFCCARTESIANPOINT,6.226000000000004,-10.05300000000002,0.0
IfcCartesianPoint,#371,IFCCARTESIANPOINT,0.06199999999999672,0.0,0
IfcCartesianPoint,#372,IFCCARTESIANPOINT,0.06199999999999672,0.2550000000000114,0
IfcCartesianPoint,#373,IFCCARTESIANPOINT,-1.532000000000005,0.2550000000000079,0
IfcCartesianPoint,#374,IFCCARTESIANPOINT,-1.532000000000005,0.2409999999999997,0
IfcCartesianPoint,#375,IFCCARTESIANPOINT,-1.532000000000001,-1.978000000000014,0
IfcCartesianPoint,#376,IFCCARTESIANPOINT,-1.456000000000003,-1.978000000000014,0
IfcCartesianPoint,#377,IFCCARTESIANPOINT,-1.456000000000003,0.1930000000000085,0
IfcCartesianPoint,#378,IFCCARTESIANPOINT,-0.0,0.1930000000000103,0
IfcCartesianPoint,#383,IFCCARTESIANPOINT,6.226000000000002,-9.291000000000018,0.0
IfcCartesianPoint,#384,IFCCARTESIANPOINT,1.216000000000012,0.0,0
IfcCartesianPoint,#385,IFCCARTESIANPOINT,1.216000000000015,0.06200000000000117,0
IfcCartesianPoint,#386,IFCCARTESIANPOINT,0.0,0.06199999999999939,0
IfcCartesianPoint,#393,IFCCARTESIANPOINT,6.226000000000004,-10.05300000000002,0.013
