:START_ID,:END_ID,:TYPE
#9434,#9431,HAS_SWEPT_AREA
#9439,#9436,HAS_SWEPT_AREA
#9444,#9441,HAS_SWEPT_AREA
#9449,#9446,HAS_SWEPT_AREA
#9454,#9451,HAS_SWEPT_AREA
#9459,#9456,HAS_SWEPT_AREA
#9464,#9461,HAS_SWEPT_AREA
#9469,#9466,HAS_SWEPT_AREA
#9474,#9471,HAS_SWEPT_AREA
#9479,#9476,HAS_SWEPT_AREA
#9484,#9481,HAS_SWEPT_AREA
#9489,#9486,HAS_SWEPT_AREA
#9494,#9491,HAS_SWEPT_AREA
#9499,#9496,HAS_SWEPT_AREA
#9504,#9501,HAS_SWEPT_AREA
#9509,#9506,HAS_SWEPT_AREA
#9514,#9511,HAS_SWEPT_AREA
#9519,#9516,HAS_SWEPT_AREA
#9524,#9521,HAS_SWEPT_AREA
#9529,#9526,HAS_SWEPT_AREA
#9539,#9536,HAS_SWEPT_AREA
#9546,#9541,HAS_SWEPT_AREA
#9553,#9548,HAS_SWEPT_AREA
#9560,#9555,HAS_SWEPT_AREA
#9567,#9562,HAS_SWEPT_AREA
#9574,#9569,HAS_SWEPT_AREA
#9581,#9576,HAS_SWEPT_AREA
#9588,#9583,HAS_SWEPT_AREA
#9595,#9590,HAS_SWEPT_AREA
#9602,#9597,HAS_SWEPT_AREA
#9609,#9604,HAS_SWEPT_AREA
#9616,#9611,HAS_SWEPT_AREA
#9623,#9618,HAS_SWEPT_AREA
#9630,#9625,HAS_SWEPT_AREA
#9637,#9632,HAS_SWEPT_AREA
#9644,#9639,HAS_SWEPT_AREA
#9651,#9646,HAS_SWEPT_AREA
#9658,#9653,HAS_SWEPT_AREA
#9665,#9660,HAS_SWEPT_AREA
#9672,#9667,HAS_SWEPT_AREA
#9679,#9674,HAS_SWEPT_AREA
#9686,#9681,HAS_SWEPT_AREA
#9693,#9688,HAS_SWEPT_AREA
#9700,#9695,HAS_SWEPT_AREA
#9707,#9702,HAS_SWEPT_AREA
#9714,#9709,HAS_SWEPT_AREA
#9721,#9716,HAS_SWEPT_AREA
#9728,#9723,HAS_SWEPT_AREA
#9735,#9730,HAS_SWEPT_AREA
#9742,#9737,HAS_SWEPT_AREA
#9747,#9744,HAS_SWEPT_AREA
#9752,#9749,HAS_SWEPT_AREA
#9757,#9754,HAS_SWEPT_AREA
#9762,#9759,HAS_SWEPT_AREA
#9779,#9773,HAS_SWEPT_AREA
#12255,#12252,HAS_SWEPT_AREA
#12579,#12576,HAS_SWEPT_AREA
#12661,#12658,HAS_SWEPT_AREA
#12981,#12978,HAS_SWEPT_AREA
#13015,#13012,HAS_SWEPT_AREA
#13336,#13333,HAS_SWEPT_AREA
#13370,#13367,HAS_SWEPT_AREA
#13690,#13687,HAS_SWEPT_AREA
#13724,#13721,HAS_SWEPT_AREA
#14045,#14042,HAS_SWEPT_AREA
#14079,#14076,HAS_SWEPT_AREA
#14399,#14396,HAS_SWEPT_AREA
#14433,#14430,HAS_SWEPT_AREA
#14754,#14751,HAS_SWEPT_AREA
#14788,#14785,HAS_SWEPT_AREA
#15108,#15105,HAS_SWEPT_AREA
#15879,#15877,HAS_SWEPT_AREA
#15900,#15897,HAS_SWEPT_AREA
#15916,#15913,HAS_SWEPT_AREA
#15923,#15920,HAS_SWEPT_AREA
#15993,#15991,HAS_SWEPT_AREA
#16044,#16042,HAS_SWEPT_AREA
#16095,#16093,HAS_SWEPT_AREA
#16204,#16201,HAS_SWEPT_AREA
#16302,#16299,HAS_SWEPT_AREA
#16378,#16375,HAS_SWEPT_AREA
#16385,#16382,HAS_SWEPT_AREA
#16507,#16504,HAS_SWEPT_AREA
#16514,#16511,HAS_SWEPT_AREA
#16748,#16745,HAS_SWEPT_AREA
#16843,#16840,HAS_SWEPT_AREA
#17431,#17428,HAS_SWEPT_AREA
#17450,#17447,HAS_SWEPT_AREA
#17466,#17463,HAS_SWEPT_AREA
#17473,#17470,HAS_SWEPT_AREA
#17494,#17491,HAS_SWEPT_AREA
#17624,#17621,HAS_SWEPT_AREA
#17640,#17637,HAS_SWEPT_AREA
#17656,#17653,HAS_SWEPT_AREA
#17663,#17660,HAS_SWEPT_AREA
#17681,#17678,HAS_SWEPT_AREA
#17960,#17957,HAS_SWEPT_AREA
#17996,#17993,HAS_SWEPT_AREA
#19373,#19370,HAS_SWEPT_AREA
#19406,#19403,HAS_SWEPT_AREA
#20787,#20784,HAS_SWEPT_AREA
#20898,#20895,HAS_SWEPT_AREA
#20953,#20950,HAS_SWEPT_AREA
#21008,#21005,HAS_SWEPT_AREA
#21075,#21072,HAS_SWEPT_AREA
#21142,#21139,HAS_SWEPT_AREA
#21190,#21187,HAS_SWEPT_AREA
#21331,#21328,HAS_SWEPT_AREA
#21396,#21393,HAS_SWEPT_AREA
#21444,#21441,HAS_SWEPT_AREA
#21492,#21489,HAS_SWEPT_AREA
#21540,#21537,HAS_SWEPT_AREA
#21605,#21602,HAS_SWEPT_AREA
#21653,#21650,HAS_SWEPT_AREA
#21699,#21697,HAS_SWEPT_AREA
#21720,#21717,HAS_SWEPT_AREA
#21736,#21733,HAS_SWEPT_AREA
#21743,#21740,HAS_SWEPT_AREA
#21761,#21758,HAS_SWEPT_AREA
#21909,#21907,HAS_SWEPT_AREA
#21960,#21958,HAS_SWEPT_AREA
#22012,#22010,HAS_SWEPT_AREA
#22064,#22062,HAS_SWEPT_AREA
#22116,#22114,HAS_SWEPT_AREA
#22168,#22166,HAS_SWEPT_AREA
#22220,#22218,HAS_SWEPT_AREA
#22272,#22270,HAS_SWEPT_AREA
#22324,#22322,HAS_SWEPT_AREA
#22376,#22374,HAS_SWEPT_AREA
#22428,#22426,HAS_SWEPT_AREA
#22483,#22480,HAS_SWEPT_AREA
#22499,#22496,HAS_SWEPT_AREA
#22513,#22510,HAS_SWEPT_AREA
#22525,#22523,HAS_SWEPT_AREA
#22538,#22536,HAS_SWEPT_AREA
#22658,#22656,HAS_SWEPT_AREA
#22703,#22701,HAS_SWEPT_AREA
#22748,#22746,HAS_SWEPT_AREA
#22793,#22791,HAS_SWEPT_AREA
#23281,#23278,HAS_SWEPT_AREA
#23364,#23361,HAS_SWEPT_AREA
#23403,#23400,HAS_SWEPT_AREA
#23441,#23438,HAS_SWEPT_AREA
#23480,#23477,HAS_SWEPT_AREA
#23519,#23516,HAS_SWEPT_AREA
#23557,#23554,HAS_SWEPT_AREA
#24580,#24578,HAS_SWEPT_AREA
#24675,#24673,HAS_SWEPT_AREA
#24718,#24716,HAS_SWEPT_AREA
#24763,#24761,HAS_SWEPT_AREA
#24808,#24806,HAS_SWEPT_AREA
#31426,#31424,HAS_SWEPT_AREA
#31471,#31469,HAS_SWEPT_AREA
#31553,#31550,HAS_SWEPT_AREA
#31581,#31578,HAS_SWEPT_AREA
#31609,#31606,HAS_SWEPT_AREA
#31637,#31634,HAS_SWEPT_AREA
#31665,#31662,HAS_SWEPT_AREA
#31693,#31690,HAS_SWEPT_AREA
#31721,#31718,HAS_SWEPT_AREA
#31749,#31746,HAS_SWEPT_AREA
#31777,#31774,HAS_SWEPT_AREA
#31805,#31802,HAS_SWEPT_AREA
#31833,#31830,HAS_SWEPT_AREA
#31861,#31858,HAS_SWEPT_AREA
#31889,#31886,HAS_SWEPT_AREA
#31917,#31914,HAS_SWEPT_AREA
#31945,#31942,HAS_SWEPT_AREA
#31952,#31949,HAS_SWEPT_AREA
#31959,#31956,HAS_SWEPT_AREA
#31966,#31963,HAS_SWEPT_AREA
#31973,#31970,HAS_SWEPT_AREA
#31980,#31977,HAS_SWEPT_AREA
#31987,#31984,HAS_SWEPT_AREA
#31994,#31991,HAS_SWEPT_AREA
#32001,#31998,HAS_SWEPT_AREA
#32008,#32005,HAS_SWEPT_AREA
#32015,#32012,HAS_SWEPT_AREA
#32022,#32019,HAS_SWEPT_AREA
#32029,#32026,HAS_SWEPT_AREA
#32036,#32033,HAS_SWEPT_AREA
#32043,#32040,HAS_SWEPT_AREA
#32050,#32047,HAS_SWEPT_AREA
#32057,#32054,HAS_SWEPT_AREA
#32090,#32086,HAS_SWEPT_AREA
#32109,#32105,HAS_SWEPT_AREA
#32373,#32370,HAS_SWEPT_AREA
#32378,#32375,HAS_SWEPT_AREA
#32383,#32380,HAS_SWEPT_AREA
#32388,#32385,HAS_SWEPT_AREA
#32393,#32390,HAS_SWEPT_AREA
#32398,#32395,HAS_SWEPT_AREA
#32403,#32400,HAS_SWEPT_AREA
#32408,#32405,HAS_SWEPT_AREA
#32413,#32410,HAS_SWEPT_AREA
#32418,#32415,HAS_SWEPT_AREA
#32423,#32420,HAS_SWEPT_AREA
#32428,#32425,HAS_SWEPT_AREA
#32433,#32430,HAS_SWEPT_AREA
#32438,#32435,HAS_SWEPT_AREA
#32443,#32440,HAS_SWEPT_AREA
#32448,#32445,HAS_SWEPT_AREA
#32453,#32450,HAS_SWEPT_AREA
#32458,#32455,HAS_SWEPT_AREA
#32463,#32460,HAS_SWEPT_AREA
#32468,#32465,HAS_SWEPT_AREA
#32473,#32470,HAS_SWEPT_AREA
#32478,#32475,HAS_SWEPT_AREA
#32483,#32480,HAS_SWEPT_AREA
#32488,#32485,HAS_SWEPT_AREA
#32493,#32490,HAS_SWEPT_AREA
#32498,#32495,HAS_SWEPT_AREA
#32503,#32500,HAS_SWEPT_AREA
#32508,#32505,HAS_SWEPT_AREA
#32518,#32515,HAS_SWEPT_AREA
#32525,#32520,HAS_SWEPT_AREA
#32532,#32527,HAS_SWEPT_AREA
#32539,#32534,HAS_SWEPT_AREA
#32546,#32541,HAS_SWEPT_AREA
#32553,#32548,HAS_SWEPT_AREA
#32560,#32555,HAS_SWEPT_AREA
#32567,#32562,HAS_SWEPT_AREA
#32574,#32569,HAS_SWEPT_AREA
#32581,#32576,HAS_SWEPT_AREA
#32588,#32583,HAS_SWEPT_AREA
#32595,#32590,HAS_SWEPT_AREA
#32602,#32597,HAS_SWEPT_AREA
#32609,#32604,HAS_SWEPT_AREA
#32616,#32611,HAS_SWEPT_AREA
#32623,#32618,HAS_SWEPT_AREA
#32630,#32625,HAS_SWEPT_AREA
#32637,#32632,HAS_SWEPT_AREA
#32644,#32639,HAS_SWEPT_AREA
#32651,#32646,HAS_SWEPT_AREA
#32658,#32653,HAS_SWEPT_AREA
#32665,#32660,HAS_SWEPT_AREA
#32672,#32667,HAS_SWEPT_AREA
#32679,#32674,HAS_SWEPT_AREA
#32686,#32681,HAS_SWEPT_AREA
#32693,#32688,HAS_SWEPT_AREA
#32700,#32695,HAS_SWEPT_AREA
#32707,#32702,HAS_SWEPT_AREA
#32714,#32709,HAS_SWEPT_AREA
#32721,#32716,HAS_SWEPT_AREA
#32726,#32723,HAS_SWEPT_AREA
#32731,#32728,HAS_SWEPT_AREA
#32736,#32733,HAS_SWEPT_AREA
#32741,#32738,HAS_SWEPT_AREA
#32758,#32752,HAS_SWEPT_AREA
#35194,#35192,HAS_SWEPT_AREA
#35235,#35233,HAS_SWEPT_AREA
#35256,#35253,HAS_SWEPT_AREA
#35272,#35269,HAS_SWEPT_AREA
#35279,#35276,HAS_SWEPT_AREA
#35352,#35350,HAS_SWEPT_AREA
#35393,#35391,HAS_SWEPT_AREA
#35447,#35445,HAS_SWEPT_AREA
#35492,#35490,HAS_SWEPT_AREA
#36678,#36675,HAS_SWEPT_AREA
#36887,#36884,HAS_SWEPT_AREA
#37060,#37057,HAS_SWEPT_AREA
#37190,#37187,HAS_SWEPT_AREA
#37320,#37317,HAS_SWEPT_AREA
#37451,#37448,HAS_SWEPT_AREA
#37581,#37578,HAS_SWEPT_AREA
#37711,#37708,HAS_SWEPT_AREA
#37772,#37769,HAS_SWEPT_AREA
#37859,#37856,HAS_SWEPT_AREA
#37908,#37906,HAS_SWEPT_AREA
#37965,#37963,HAS_SWEPT_AREA
#38010,#38008,HAS_SWEPT_AREA
#38055,#38053,HAS_SWEPT_AREA
#38100,#38098,HAS_SWEPT_AREA
#38145,#38143,HAS_SWEPT_AREA
#38190,#38188,HAS_SWEPT_AREA
#38235,#38233,HAS_SWEPT_AREA
