:LABEL,id,ifc_type,name,numeric_value,property_name,text_value
IfcPropertySingleValue,#6483,IFCPROPERTYSINGLEVALUE,WarrantyGuarantorParts,,WarrantyGuarantorParts,WarrantyGuarantorParts
IfcPropertySingleValue,#6484,IFCPROPERTYSINGLEVALUE,ExpectedLife,,ExpectedLife,ExpectedLife
IfcPropertySingleValue,#6485,IFCPROPERTYSINGLEVALUE,ReplacementCost,,ReplacementCost,ReplacementCost
IfcPropertySingleValue,#6486,IFCPROPERTYSINGLEVALUE,AssetAccountingType,,AssetAccountingType,FIXED
IfcPropertySingleValue,#6487,IFCPROPERTYSINGLEVALUE,ModelLabel,,ModelLabel,ModelLabel
IfcPropertySingleValue,#6488,IFCPROPERTYSINGLEVALUE,OmniClass Number,,OmniClass Number,23.30.20.17.11
IfcPropertySingleValue,#6489,IFCPROPERTYSINGLEVALUE,OmniClass Title,,OmniClass Title,Fixed Windows
IfcPropertySingleValue,#6532,IFCPROPERTYSINGLEVALUE,Reference,,Reference,M_Fixed:4835mm x 2420mm
IfcPropertySingleValue,#6533,IFCPROPERTYSINGLEVALUE,FireRating,,FireRating,FireRating
IfcPropertySingleValue,#6536,IFCPROPERTYSINGLEVALUE,Level,,Level,Level 1
IfcPropertySingleValue,#6537,IFCPROPERTYSINGLEVALUE,Sill Height,0.1,Sill Height,
IfcPropertySingleValue,#6538,IFCPROPERTYSINGLEVALUE,Head Height,2.52,Head Height,
IfcPropertySingleValue,#6539,IFCPROPERTYSINGLEVALUE,Mark,,Mark,10
IfcPropertySingleValue,#6540,IFCPROPERTYSINGLEVALUE,InstallationDate,,InstallationDate,InstallationDate
IfcPropertySingleValue,#6541,IFCPROPERTYSINGLEVALUE,SerialNumber,,SerialNumber,SerialNumber
IfcPropertySingleValue,#6542,IFCPROPERTYSINGLEVALUE,WarrantyStartDate,,WarrantyStartDate,WarrantyStartDate
IfcPropertySingleValue,#6543,IFCPROPERTYSINGLEVALUE,BarCode,,BarCode,BarCode
IfcPropertySingleValue,#6544,IFCPROPERTYSINGLEVALUE,AssetIdentifier,,AssetIdentifier,AssetIdentifier
IfcPropertySingleValue,#6545,IFCPROPERTYSINGLEVALUE,TagNumber,,TagNumber,TagNumber
IfcPropertySingleValue,#6546,IFCPROPERTYSINGLEVALUE,Phase Created,,Phase Created,New Construction
IfcPropertySingleValue,#6653,IFCPROPERTYSINGLEVALUE,Reference,,Reference,M_Single-Flush:1250mm x 2010mm
IfcPropertySingleValue,#6654,IFCPROPERTYSINGLEVALUE,FireRating,,FireRating,Fire Rating
IfcPropertySingleValue,#6657,IFCPROPERTYSINGLEVALUE,Level,,Level,Level 1
IfcPropertySingleValue,#6658,IFCPROPERTYSINGLEVALUE,Sill Height,0.0,Sill Height,
IfcPropertySingleValue,#6659,IFCPROPERTYSINGLEVALUE,Head Height,2.01,Head Height,
IfcPropertySingleValue,#6660,IFCPROPERTYSINGLEVALUE,Mark,,Mark,A101
IfcPropertySingleValue,#6661,IFCPROPERTYSINGLEVALUE,InstallationDate,,InstallationDate,InstallationDate
IfcPropertySingleValue,#6662,IFCPROPERTYSINGLEVALUE,SerialNumber,,SerialNumber,SerialNumber
IfcPropertySingleValue,#6663,IFCPROPERTYSINGLEVALUE,WarrantyStartDate,,WarrantyStartDate,WarrantyStartDate
IfcPropertySingleValue,#6664,IFCPROPERTYSINGLEVALUE,BarCode,,BarCode,BarCode
IfcPropertySingleValue,#6665,IFCPROPERTYSINGLEVALUE,AssetIdentifier,,AssetIdentifier,AssetIdentifier
IfcPropertySingleValue,#6666,IFCPROPERTYSINGLEVALUE,TagNumber,,TagNumber,TagNumber
IfcPropertySingleValue,#6667,IFCPROPERTYSINGLEVALUE,Phase Created,,Phase Created,New Construction
IfcPropertySingleValue,#6668,IFCPROPERTYSINGLEVALUE,Thickness,0.051,Thickness,
