:LABEL,global_id,id,ifc_type,name,object_type,tag
IfcStairFlight,1oKjKg9PD3fP1iIwXLh3lK,#8970,IFCSTAIRFLIGHT,Stair:Residential - 200mm Max Riser 250mm Tread:151086:1,Stair:Residential - 200mm Max Riser 250mm Tread,151086
IfcStairFlight,3KMJUyUe9DfQ2FOCd5ZoiN,#32063,IFCSTAIRFLIGHT,Stair:Residential - 200mm Max Riser 250mm Tread:198878:1,Stair:Residential - 200mm Max Riser 250mm Tread,198878
