:LABEL,composition_type,elevation,global_id,id,ifc_type,name
IfcBuildingStorey,ELEMENT,0.0,1xS3BCk291UvhgP2dvNMKI,#39,IFCBUILDINGSTOREY,Level 1
IfcBuildingStorey,ELEMENT,3.100000000000378,1xS3BCk291UvhgP2dvNMQJ,#43,IFCBUILDINGSTOREY,Level 2
IfcBuildingStorey,ELEMENT,-1.25,1xS3BCk291UvhgP2dvNsgp,#47,IFCBUILDINGSTOREY,T/FDN
IfcBuildingStorey,ELEMENT,6.00000000000039,1xS3BCk291UvhgP2dvNtSE,#51,IFCBUILDINGSTOREY,Roof
