:LABEL,id,ifc_type,outer_curve,profile_type
IfcArbitraryClosedProfileDef,#17957,IFCARBITRARYCLOSEDPROFILEDEF,#17956,AREA
IfcArbitraryClosedProfileDef,#17993,IFCARBITRARYCLOSEDPROFILEDEF,#17992,AREA
IfcArbitraryClosedProfileDef,#19370,IFCARBITRARYCLOSEDPROFILEDEF,#19369,AREA
IfcArbitraryClosedProfileDef,#19403,IFCARBITRARYCLOSEDPROFILEDEF,#19402,AREA
IfcArbitraryClosedProfileDef,#20784,IFCARBITRARYCLOSEDPROFILEDEF,#20783,AREA
IfcArbitraryClosedProfileDef,#20895,IFCARBITRARYCLOSEDPROFILEDEF,#20894,AREA
IfcArbitraryClosedProfileDef,#20950,IFCARBITRARYCLOSEDPROFILEDEF,#20949,AREA
IfcArbitraryClosedProfileDef,#21005,IFCARBITRARYCLOSEDPROFILEDEF,#21004,AREA
IfcArbitraryClosedProfileDef,#21072,IFCARBITRARYCLOSEDPROFILEDEF,#21071,AREA
IfcArbitraryClosedProfileDef,#21139,IFCARBITRARYCLOSEDPROFILEDEF,#21138,AREA
IfcArbitraryClosedProfileDef,#21393,IFCARBITRARYCLOSEDPROFILEDEF,#21392,AREA
IfcArbitraryClosedProfileDef,#21602,IFCARBITRARYCLOSEDPROFILEDEF,#21601,AREA
IfcArbitraryClosedProfileDef,#21717,IFCARBITRARYCLOSEDPROFILEDEF,#21716,AREA
IfcArbitraryClosedProfileDef,#21733,IFCARBITRARYCLOSEDPROFILEDEF,#21732,AREA
IfcArbitraryClosedProfileDef,#31550,IFCARBITRARYCLOSEDPROFILEDEF,#31549,AREA
IfcArbitraryClosedProfileDef,#31578,IFCARBITRARYCLOSEDPROFILEDEF,#31577,AREA
IfcArbitraryClosedProfileDef,#31606,IFCARBITRARYCLOSEDPROFILEDEF,#31605,AREA
IfcArbitraryClosedProfileDef,#31634,IFCARBITRARYCLOSEDPROFILEDEF,#31633,AREA
IfcArbitraryClosedProfileDef,#31662,IFCARBITRARYCLOSEDPROFILEDEF,#31661,AREA
IfcArbitraryClosedProfileDef,#31690,IFCARBITRARYCLOSEDPROFILEDEF,#31689,AREA
IfcArbitraryClosedProfileDef,#31718,IFCARBITRARYCLOSEDPROFILEDEF,#31717,AREA
IfcArbitraryClosedProfileDef,#31746,IFCARBITRARYCLOSEDPROFILEDEF,#31745,AREA
IfcArbitraryClosedProfileDef,#31774,IFCARBITRARYCLOSEDPROFILEDEF,#31773,AREA
IfcArbitraryClosedProfileDef,#31802,IFCARBITRARYCLOSEDPROFILEDEF,#31801,AREA
IfcArbitraryClosedProfileDef,#31830,IFCARBITRARYCLOSEDPROFILEDEF,#31829,AREA
IfcArbitraryClosedProfileDef,#31858,IFCARBITRARYCLOSEDPROFILEDEF,#31857,AREA
IfcArbitraryClosedProfileDef,#31886,IFCARBITRARYCLOSEDPROFILEDEF,#31885,AREA
IfcArbitraryClosedProfileDef,#31914,IFCARBITRARYCLOSEDPROFILEDEF,#31913,AREA
IfcArbitraryClosedProfileDef,#31942,IFCARBITRARYCLOSEDPROFILEDEF,#31941,AREA
IfcArbitraryClosedProfileDef,#32086,IFCARBITRARYCLOSEDPROFILEDEF,#32085,AREA
IfcArbitraryClosedProfileDef,#32105,IFCARBITRARYCLOSEDPROFILEDEF,#32104,AREA
IfcArbitraryClosedProfileDef,#32515,IFCARBITRARYCLOSEDPROFILEDEF,#32514,AREA
IfcArbitraryClosedProfileDef,#32752,IFCARBITRARYCLOSEDPROFILEDEF,#32751,AREA
IfcArbitraryClosedProfileDef,#35253,IFCARBITRARYCLOSEDPROFILEDEF,#35252,AREA
IfcArbitraryClosedProfileDef,#35269,IFCARBITRARYCLOSEDPROFILEDEF,#35268,AREA
IfcArbitraryClosedProfileDef,#36675,IFCARBITRARYCLOSEDPROFILEDEF,#36674,AREA
IfcArbitraryClosedProfileDef,#36884,IFCARBITRARYCLOSEDPROFILEDEF,#36883,AREA
IfcArbitraryClosedProfileDef,#37057,IFCARBITRARYCLOSEDPROFILEDEF,#37056,AREA
IfcArbitraryClosedProfileDef,#37187,IFCARBITRARYCLOSEDPROFILEDEF,#37186,AREA
IfcArbitraryClosedProfileDef,#37317,IFCARBITRARYCLOSEDPROFILEDEF,#37316,AREA
IfcArbitraryClosedProfileDef,#37448,IFCARBITRARYCLOSEDPROFILEDEF,#37447,AREA
IfcArbitraryClosedProfileDef,#37578,IFCARBITRARYCLOSEDPROFILEDEF,#37577,AREA
IfcArbitraryClosedProfileDef,#37708,IFCARBITRARYCLOSEDPROFILEDEF,#37707,AREA
